"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\university\毕业设计\reactAi\reactAi\src\pages\Home\home.tsx", "TypeScript JSX", 0, 94, 0, 0, 2, 14, 110
"d:\university\毕业设计\reactAi\reactAi\src\pages\Home\index.scss", "SCSS", 0, 0, 143, 0, 3, 6, 152
"d:\university\毕业设计\reactAi\reactAi\src\pages\Home\index.tsx", "TypeScript JSX", 0, 152, 0, 0, 1, 33, 186
"d:\university\毕业设计\reactAi\reactAi\src\pages\Login\login.scss", "SCSS", 0, 0, 115, 0, 1, 20, 136
"d:\university\毕业设计\reactAi\reactAi\src\pages\Login\login.tsx", "TypeScript JSX", 0, 177, 0, 0, 0, 15, 192
"d:\university\毕业设计\reactAi\reactAi\src\types\admin.ts", "TypeScript", 69, 0, 0, 0, 7, 8, 84
"d:\university\毕业设计\reactAi\reactAi\src\types\chat.ts", "TypeScript", 47, 0, 0, 0, 0, 8, 55
"d:\university\毕业设计\reactAi\reactAi\src\types\exam.ts", "TypeScript", 23, 0, 0, 0, 0, 3, 26
"d:\university\毕业设计\reactAi\reactAi\src\types\feedback.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 17
"d:\university\毕业设计\reactAi\reactAi\src\types\utils.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 4
"d:\university\毕业设计\reactAi\reactAi\src\utils.ts", "TypeScript", 22, 0, 0, 0, 4, 6, 32
"d:\university\毕业设计\reactAi\reactAi\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 522, 3455, 960, 162, 175, 627, 5901
